"geoid20","census_tract","geoid10","race_ethnicity","cnty","county2","count","moe","opp_class","opp_index"
"53033000101","Census Tract 1.01; King County; Washington","53033000100","AIAN",33,"King",30,36,4,"High"
"53033000101","Census Tract 1.01; King County; Washington","53033000100","Asian",33,"King",655,340,4,"High"
"53033000101","Census Tract 1.01; King County; Washington","53033000100","Black/African American",33,"King",519,221,4,"High"
"53033000101","Census Tract 1.01; King County; Washington","53033000100","Hispanic/Latinx",33,"King",293,111,4,"High"
"53033000101","Census Tract 1.01; King County; Washington","53033000100","NHOPI",33,"King",0,13,4,"High"
"53033000101","Census Tract 1.01; King County; Washington","53033000100","Other or Multiple Races",33,"King",690,227.404925188528,4,"High"
"53033000101","Census Tract 1.01; King County; Washington","53033000100","White",33,"King",1557,604,4,"High"
"53033000102","Census Tract 1.02; King County; Washington","53033000100","AIAN",33,"King",0,13,4,"High"
"53033000102","Census Tract 1.02; King County; Washington","53033000100","Asian",33,"King",492,176,4,"High"
"53033000102","Census Tract 1.02; King County; Washington","53033000100","Black/African American",33,"King",155,150,4,"High"
"53033000102","Census Tract 1.02; King County; Washington","53033000100","Hispanic/Latinx",33,"King",328,251,4,"High"
"53033000102","Census Tract 1.02; King County; Washington","53033000100","NHOPI",33,"King",0,13,4,"High"
"53033000102","Census Tract 1.02; King County; Washington","53033000100","Other or Multiple Races",33,"King",213,112.880467752397,4,"High"
"53033000102","Census Tract 1.02; King County; Washington","53033000100","White",33,"King",3294,708,4,"High"
"53033000201","Census Tract 2.01; King County; Washington","53033000200","AIAN",33,"King",12,20,3,"Moderate"
"53033000201","Census Tract 2.01; King County; Washington","53033000200","Asian",33,"King",684,431,3,"Moderate"
"53033000201","Census Tract 2.01; King County; Washington","53033000200","Black/African American",33,"King",560,401,3,"Moderate"
"53033000201","Census Tract 2.01; King County; Washington","53033000200","Hispanic/Latinx",33,"King",538,334,3,"Moderate"
"53033000201","Census Tract 2.01; King County; Washington","53033000200","NHOPI",33,"King",0,13,3,"Moderate"
"53033000201","Census Tract 2.01; King County; Washington","53033000200","Other or Multiple Races",33,"King",280,136.080858315929,3,"Moderate"
"53033000201","Census Tract 2.01; King County; Washington","53033000200","White",33,"King",2747,592,3,"Moderate"
"53033000202","Census Tract 2.02; King County; Washington","53033000200","AIAN",33,"King",40,59,3,"Moderate"
"53033000202","Census Tract 2.02; King County; Washington","53033000200","Asian",33,"King",754,235,3,"Moderate"
"53033000202","Census Tract 2.02; King County; Washington","53033000200","Black/African American",33,"King",433,326,3,"Moderate"
"53033000202","Census Tract 2.02; King County; Washington","53033000200","Hispanic/Latinx",33,"King",583,398,3,"Moderate"
"53033000202","Census Tract 2.02; King County; Washington","53033000200","NHOPI",33,"King",0,13,3,"Moderate"
"53033000202","Census Tract 2.02; King County; Washington","53033000200","Other or Multiple Races",33,"King",674,207.429506097855,3,"Moderate"
"53033000202","Census Tract 2.02; King County; Washington","53033000200","White",33,"King",2278,310,3,"Moderate"
"53033000300","Census Tract 3; King County; Washington","53033000300","AIAN",33,"King",0,13,4,"High"
"53033000300","Census Tract 3; King County; Washington","53033000300","Asian",33,"King",640,236,4,"High"
"53033000300","Census Tract 3; King County; Washington","53033000300","Black/African American",33,"King",60,78,4,"High"
"53033000300","Census Tract 3; King County; Washington","53033000300","Hispanic/Latinx",33,"King",107,77,4,"High"
"53033000300","Census Tract 3; King County; Washington","53033000300","NHOPI",33,"King",1,2,4,"High"
"53033000300","Census Tract 3; King County; Washington","53033000300","Other or Multiple Races",33,"King",531,161.73744155266,4,"High"
"53033000300","Census Tract 3; King County; Washington","53033000300","White",33,"King",1886,384,4,"High"
"53033000402","Census Tract 4.02; King County; Washington","53033000402","AIAN",33,"King",0,18,2,"Low"
"53033000402","Census Tract 4.02; King County; Washington","53033000402","Asian",33,"King",435,146,2,"Low"
"53033000402","Census Tract 4.02; King County; Washington","53033000402","Black/African American",33,"King",111,98,2,"Low"
"53033000402","Census Tract 4.02; King County; Washington","53033000402","Hispanic/Latinx",33,"King",447,313,2,"Low"
"53033000402","Census Tract 4.02; King County; Washington","53033000402","NHOPI",33,"King",11,21,2,"Low"
"53033000402","Census Tract 4.02; King County; Washington","53033000402","Other or Multiple Races",33,"King",469,180.673739098963,2,"Low"
"53033000402","Census Tract 4.02; King County; Washington","53033000402","White",33,"King",4149,661,2,"Low"
"53033000403","Census Tract 4.03; King County; Washington","53033000401","AIAN",33,"King",0,13,2,"Low"
"53033000403","Census Tract 4.03; King County; Washington","53033000401","Asian",33,"King",439,157,2,"Low"
"53033000403","Census Tract 4.03; King County; Washington","53033000401","Black/African American",33,"King",107,84,2,"Low"
"53033000403","Census Tract 4.03; King County; Washington","53033000401","Hispanic/Latinx",33,"King",168,93,2,"Low"
"53033000403","Census Tract 4.03; King County; Washington","53033000401","NHOPI",33,"King",0,13,2,"Low"
"53033000403","Census Tract 4.03; King County; Washington","53033000401","Other or Multiple Races",33,"King",577,245.819039132448,2,"Low"
"53033000403","Census Tract 4.03; King County; Washington","53033000401","White",33,"King",2290,284,2,"Low"
"53033000404","Census Tract 4.04; King County; Washington","53033000401","AIAN",33,"King",0,13,2,"Low"
"53033000404","Census Tract 4.04; King County; Washington","53033000401","Asian",33,"King",448,220,2,"Low"
"53033000404","Census Tract 4.04; King County; Washington","53033000401","Black/African American",33,"King",1280,411,2,"Low"
"53033000404","Census Tract 4.04; King County; Washington","53033000401","Hispanic/Latinx",33,"King",455,311,2,"Low"
"53033000404","Census Tract 4.04; King County; Washington","53033000401","NHOPI",33,"King",0,13,2,"Low"
"53033000404","Census Tract 4.04; King County; Washington","53033000401","Other or Multiple Races",33,"King",458,200.249843945008,2,"Low"
"53033000404","Census Tract 4.04; King County; Washington","53033000401","White",33,"King",1435,372,2,"Low"
"53033000500","Census Tract 5; King County; Washington","53033000500","AIAN",33,"King",0,13,4,"High"
"53033000500","Census Tract 5; King County; Washington","53033000500","Asian",33,"King",252,129,4,"High"
"53033000500","Census Tract 5; King County; Washington","53033000500","Black/African American",33,"King",139,188,4,"High"
"53033000500","Census Tract 5; King County; Washington","53033000500","Hispanic/Latinx",33,"King",54,70,4,"High"
"53033000500","Census Tract 5; King County; Washington","53033000500","NHOPI",33,"King",0,13,4,"High"
"53033000500","Census Tract 5; King County; Washington","53033000500","Other or Multiple Races",33,"King",563,206.191658415174,4,"High"
"53033000500","Census Tract 5; King County; Washington","53033000500","White",33,"King",2739,328,4,"High"
"53033000601","Census Tract 6.01; King County; Washington","53033000600","AIAN",33,"King",14,23,2,"Low"
"53033000601","Census Tract 6.01; King County; Washington","53033000600","Asian",33,"King",521,301,2,"Low"
"53033000601","Census Tract 6.01; King County; Washington","53033000600","Black/African American",33,"King",615,624,2,"Low"
"53033000601","Census Tract 6.01; King County; Washington","53033000600","Hispanic/Latinx",33,"King",247,188,2,"Low"
"53033000601","Census Tract 6.01; King County; Washington","53033000600","NHOPI",33,"King",8,14,2,"Low"
"53033000601","Census Tract 6.01; King County; Washington","53033000600","Other or Multiple Races",33,"King",831,302.10097649627,2,"Low"
"53033000601","Census Tract 6.01; King County; Washington","53033000600","White",33,"King",2978,567,2,"Low"
"53033000602","Census Tract 6.02; King County; Washington","53033000600","AIAN",33,"King",50,63,2,"Low"
